curve_uid,paper_key,native_index,j,eta_mV
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,9,19.354226020892686,23.13167259786477
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,10,23.741690408357073,25.504151838671415
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,11,28.12915479582146,27.87663107947806
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,12,32.91547958214625,30.2491103202847
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,13,38.10066476733143,32.62158956109135
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,14,43.28584995251662,34.99406880189799
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,15,48.869895536562204,37.36654804270463
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,16,54.85280151946819,39.73902728351127
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,17,60.43684710351377,42.11150652431792
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,18,66.41975308641975,44.483985765124565
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,19,72.40265906932574,46.856465005931206
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,20,78.78442545109212,49.228944246737846
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,21,84.9667616334283,51.601423487544494
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,22,91.14909781576448,53.973902728351135
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,23,97.13200379867047,56.346381969157775
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,24,99.72459639126306,58.718861209964416
batch0/case10/figure_4__panel_c/curve_1,10.1002/adma.202412541,0,0.27859430526915757,1.016552150630256
batch0/case10/figure_4__panel_c/curve_1,10.1002/adma.202412541,1,0.6471285043653714,6.762876555270003
batch0/case10/figure_4__panel_c/curve_1,10.1002/adma.202412541,2,1.384196902557799,12.50920095990975
batch0/case10/figure_4__panel_c/curve_1,10.1002/adma.202412541,3,1.7527311016540126,18.255525364549495
batch0/case10/figure_4__panel_c/curve_1,10.1002/adma.202412541,4,2.1212653007502262,24.001849769189246
batch0/case10/figure_4__panel_c/curve_1,10.1002/adma.202412541,5,2.858333698942654,29.748174173828993
batch0/case10/figure_4__panel_c/curve_1,10.1002/adma.202412541,6,3.5954020971350813,35.494498578468736
batch0/case10/figure_4__panel_c/curve_1,10.1002/adma.202412541,7,4.45531522835958,41.24082298310849
batch0/case10/figure_4__panel_c/curve_1,10.1002/adma.202412541,8,5.192383626552008,46.98714738774823
batch0/case10/figure_4__panel_c/curve_1,10.1002/adma.202412541,9,6.789365155968934,58.47979619702773
batch0/case10/figure_4__panel_c/curve_1,10.1002/adma.202412541,10,8.509191418417931,71.40902610746716
