panel_uid,n_curves,D_range_mV,E_range_mV,E_zero_and_nonzero,E_pos_and_neg
batch3/case347/figure_4__a,3,61.62006361275388,28.344647174044212,False,False
batch3/case347/figure_5__panel_c,3,131.02166900522653,244.29744051106417,False,True
batch3/case351/figure_6__panel_a,2,0.8815902385043586,21.01750680959239,False,False
batch3/case357/figure_3__panel_a,2,19.94347996793683,2.2645492969716106,False,False
batch3/case357/figure_4__panel_g,4,64.8040471578528,45.53016300514702,True,True
batch3/case359/figure_2__panel_a,3,73.86989733908015,206.48925737360352,True,True
batch3/case362/figure_3__panel_A,4,207.3122824129,233.74605667718117,False,True
batch3/case367/figure_5__panel_a,2,56.905116641155146,112.91609734670178,True,False
batch3/case368/figure_4__panel_a,3,40.480112793195524,42.061748969993964,False,True
batch3/case369/figure_4__panel_a,4,102.33336427803354,34.42107306526942,True,True
batch3/case369/figure_4__panel_f,4,149.83235648818413,14.346360657471454,False,False
batch3/case377/figure_4__d,3,38.91247738775655,127.77745873291292,True,False
batch3/case379/figure_3__panel_a,4,124.20875933058645,184.61492670382594,True,False
batch3/case379/figure_3__panel_b,3,42.569143597475815,399.9999999919115,True,True
batch3/case384/figure_4__panel_a,5,112.21310510679153,33.82438717912467,True,True
batch3/case390/figure_4__panel_a,6,765.6585615950221,399.9996646704496,False,True
batch3/case393/figure_3__panel_a,2,37.82786574895621,28.242576466988353,False,True
batch3/case400/figure_3__panel_a,3,47.78279006103445,216.47558216475036,False,True
batch3/case400/figure_5__panel_a,4,118.99905405106298,24.997336462655042,True,False
batch3/case407/figure_3__panel_a,4,197.22031631928775,301.2759382728231,False,True
batch3/case407/figure_3__panel_h,2,146.55514099247245,275.3739537214308,False,True
batch3/case407/figure_4__panel_a,5,273.57604455152534,152.47436533197623,False,False
batch3/case407/figure_4__panel_d,3,241.2642661245785,356.0226633363925,False,True
batch3/case414/figure_4__panel_f,2,3.205973166851649,9.531902726711408,False,False
batch3/case417/figure_4__panel_a,3,145.7263217332208,259.10531884489524,False,True
batch3/case419/figure_4__panel_a,3,83.56040416341104,79.72272649388309,True,False
batch3/case419/figure_4__panel_b,2,12.79544823176683,81.95132792093008,False,False
batch3/case422/figure_3__a,3,126.0402697304169,196.41564695568388,True,False
batch3/case423/figure_3__panel_a,4,52.27072494699946,265.66944031431,False,True
batch3/case432/figure_3__c,5,80.7910144724101,353.076269717014,False,True
batch3/case433/figure_3__f,2,76.00903562100457,147.72599874536917,False,True
batch3/case446/figure_3__panel_a,2,35.06408511133714,24.4645388205777,False,False
batch3/case446/figure_3__panel_f,2,38.62267688408615,29.672197937593143,True,False
batch3/case446/figure_4__panel_a,2,116.4153852954253,201.92354394325346,True,False
batch3/case446/figure_4__panel_f,3,116.35049559622212,215.12070615893035,False,True
batch3/case453/figure_3__panel_a,2,19.68369090010639,56.33492326743969,True,False
batch3/case457/figure_4__panel_a,3,127.57189441772802,372.6122945438733,True,True
batch3/case463/figure_5__panel_g,4,102.21687081332102,43.250512022075526,False,True
batch3/case463/figure_6__panel_b,2,11.355963722267248,217.41157750355916,False,True
batch3/case464/figure_4__panel_b,3,279.1537349900334,16.350998245167535,True,False
batch3/case470/figure_3__panel_a,3,65.58215986042372,192.58559342046075,False,False
batch3/case471/figure_4__panel_a,4,252.32466438241846,287.0448505539342,False,True
batch3/case477/figure_2__panel_a,3,56.71595733855332,127.51565533386932,False,False
batch3/case477/figure_2__panel_h,2,21.620285296320766,0.7302751266954761,False,False
batch3/case482/figure_4__panel_E,2,3.0054539817931607,2.29666097118836,False,False
batch3/case483/figure_4__a,2,12.682489799717345,6.593940149079988,True,False
batch3/case483/figure_4__f,2,6.038756791695889,7.123077319447245,False,False
batch3/case484/figure_3__panel_a,3,55.66023319788858,97.43142611562249,True,False
batch3/case492/figure_5__panel_d,4,48.76406648599204,13.881158725593822,True,False
batch3/case492/figure_5__panel_g,3,101.7553347620976,203.3609758457196,True,False
batch3/case493/figure_3__panel_a,3,134.607153398339,312.15296688080116,False,True
batch3/case494/figure_6__panel_a,3,188.0699944335005,204.43433674022958,True,False
batch3/case498/figure_3__panel_A,2,23.109902053674624,213.11387516200824,False,True
batch3/case499/figure_3__panel_a,3,27.348969092541566,17.630157011624913,True,False
batch3/case499/figure_4__panel_a,2,21.330335555717138,29.652608119224826,False,True
batch3/case499/figure_4__panel_g,3,149.08911896534687,207.9232395183162,False,True
